genus	evidence_category	primary_q_value	reasons
Novosphingobium	CONTAMINATION_SENSITIVE	0.0002775798995691816	primary_q=0.00027758; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.875; sign_reversal=True; influence_sensitive=False; contamination_sensitive=True
Pseudoxanthomonas	METHOD_SENSITIVE	0.3469750561478388	primary_q=0.346975; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.857; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Burkholderia	ROBUST_ASSOCIATION	0.022786557530648944	primary_q=0.0227866; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Rhizobacter	METHOD_SENSITIVE	0.5062901654800153	primary_q=0.50629; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Sphingomonas	CONTAMINATION_SENSITIVE	0.011449746463862294	primary_q=0.0114497; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=True
Diaphorobacter	METHOD_SENSITIVE	0.9329795717732935	primary_q=0.93298; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=False; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Fusobacterium	NO_SUPPORTED_ASSOCIATION	0.14373208226014647	primary_q=0.143732; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=False; contamination_sensitive=False
Sphingobacterium	NO_SUPPORTED_ASSOCIATION	0.6464311600498758	primary_q=0.646431; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=False; contamination_sensitive=False
Alicycliphilus	METHOD_SENSITIVE	0.8379078890351276	primary_q=0.837908; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Devosia	METHOD_SENSITIVE	0.15030675384681513	primary_q=0.150307; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Ottowia	METHOD_SENSITIVE	0.8645806217811028	primary_q=0.864581; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Thauera	METHOD_SENSITIVE	0.6464311600498758	primary_q=0.646431; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Phreatobacter	NO_SUPPORTED_ASSOCIATION	0.15864142809246368	primary_q=0.158641; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=False; contamination_sensitive=False
Dickeya	METHOD_SENSITIVE	0.49525668944746104	primary_q=0.495257; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
