patient_id	major_cell_class	n_cells	marker_mean_acinar	marker_mean_b_cell	marker_mean_endocrine	marker_mean_endothelial	marker_mean_fibroblast_caf	marker_mean_malignant_or_ductal	marker_mean_mast	marker_mean_myeloid	marker_mean_nk_cell	marker_mean_t_cell
T16	endothelial	296	1.8133445945945947	0.26942567567567566	3.259290540540541	6.66554054054054	2.2190315315315314	0.35328185328185324	0.041666666666666664	0.7905405405405406	0.26604729729729726	0.1570945945945946
T16	fibroblast_caf	692	1.5888728323699424	0.194364161849711	3.0794797687861273	0.2504816955684008	47.00240847784201	0.37200660611065234	0.004335260115606936	1.0765895953757225	0.15643063583815028	0.21098265895953755
T16	malignant_epithelial	149	4.048657718120806	0.30369127516778527	6.62248322147651	0.6308724832214766	9.478747203579418	17.25503355704698	0.011185682326621925	2.0456375838926175	0.35906040268456374	0.2751677852348993
T16	myeloid	258	1.2790697674418605	0.14534883720930233	2.1579457364341086	0.19121447028423774	1.3791989664082687	0.23255813953488375	0.003875968992248062	8.338759689922481	0.12403100775193798	0.3187984496124031
T16	nonmalignant_epithelial	183	161.30601092896174	0.23633879781420766	81.84836065573771	0.3242258652094718	2.347905282331512	2.2256049960967994	0.007285974499089253	1.194535519125683	0.16939890710382516	0.16256830601092895
T17	B_cell	11	0.045454545454545456	7.386363636363637	0.13636363636363635	0.0	0.2727272727272727	0.4155844155844156	0.0	0.43636363636363634	0.022727272727272728	0.09090909090909091
T17	T_cell	29	0.1293103448275862	5.775862068965518	0.15517241379310345	0.10344827586206896	0.3505747126436782	0.8866995073891626	0.0	0.9172413793103449	0.6293103448275863	0.353448275862069
T17	endothelial	120	0.0375	0.20416666666666666	0.17291666666666666	11.455555555555556	0.6305555555555556	0.6250000000000001	0.03888888888888889	0.9466666666666667	0.12083333333333335	0.035416666666666666
T17	fibroblast_caf	200	0.06625	0.037500000000000006	0.14375	0.04666666666666667	55.63166666666666	1.5464285714285715	0.008333333333333333	0.727	0.0875	0.08125
T17	malignant_epithelial	1473	1.10030549898167	0.04633401221995927	0.22318397827562797	0.06766236705136909	0.819868748585653	12.524003491416932	0.003847024213622992	4.862186014935506	0.04752206381534284	0.03207739307535641
T17	myeloid	240	0.042708333333333334	0.103125	0.09166666666666666	0.03472222222222222	0.22013888888888888	0.4547619047619048	0.029166666666666664	9.139166666666666	0.10416666666666667	0.21458333333333332
T17	nonmalignant_epithelial	12	57.270833333333336	0.0	206.97916666666666	0.05555555555555555	0.18055555555555555	2.619047619047619	0.0	0.6166666666666666	0.020833333333333332	0.0
T18	B_cell	1	0.0	2.25	0.25	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0
T18	T_cell	9	0.0	0.7777777777777778	0.3055555555555556	0.1111111111111111	0.2592592592592593	0.4761904761904762	0.037037037037037035	0.4	15.416666666666668	1.6111111111111112
T18	endothelial	165	0.05606060606060606	0.07121212121212123	0.6515151515151516	18.8	0.38383838383838387	0.941125541125541	0.0303030303030303	0.3466666666666666	0.1696969696969697	0.048484848484848485
T18	fibroblast_caf	333	0.026276276276276274	0.031531531531531536	0.3513513513513513	0.1001001001001001	28.505005005005003	0.5757185757185758	0.001001001001001001	0.342942942942943	0.10960960960960962	0.10060060060060061
T18	malignant_epithelial	1026	0.7166179337231968	0.021929824561403508	0.6995614035087719	0.193632228719948	0.6130604288499025	15.404622667780563	0.01949317738791423	6.660428849902535	0.11720272904483431	0.027777777777777776
T18	myeloid	21	0.011904761904761904	0.011904761904761904	0.2857142857142857	0.06349206349206349	0.19047619047619047	0.6122448979591837	0.0	6.59047619047619	0.05952380952380952	0.25
T18	nonmalignant_epithelial	7	0.5	0.0	310.39285714285717	0.14285714285714285	0.6428571428571429	2.6734693877551017	0.0	0.6857142857142857	0.07142857142857142	0.03571428571428571
T19	B_cell	13	0.2692307692307693	14.288461538461538	8.76923076923077	0.43589743589743585	0.358974358974359	0.5274725274725276	0.05128205128205129	0.6461538461538461	0.5384615384615384	0.2692307692307693
T19	T_cell	224	0.28348214285714285	5.754464285714286	16.31138392857143	0.40625	0.4069940476190476	0.5586734693877552	0.5610119047619048	0.6348214285714285	1.5625	1.888392857142857
T19	endothelial	856	0.6343457943925234	0.24824766355140185	12.016355140186914	8.185747663551401	0.5062305295950156	0.5100133511348465	0.02570093457943925	0.6273364485981309	0.29935747663551404	0.1936331775700935
T19	fibroblast_caf	704	0.14666193181818182	0.12819602272727273	4.890625000000001	0.18087121212121213	13.23839962121212	0.27617694805194803	0.07386363636363637	0.903409090909091	0.27024147727272724	0.24183238636363635
T19	malignant_epithelial	419	2.8186157517899764	0.19331742243436753	8.552505966587113	0.4160700079554495	0.564041368337311	20.3944766450733	0.021479713603818618	3.391885441527447	0.2678997613365155	0.21599045346062054
