gene	row_index_1based	missing_count	missing_proportion	nonmissing_count	mean_expression_skipna	median_expression_skipna	detected_sample_count_gt0_skipna	all_zero_among_observed	literal_NA	blank_field	parse_failure	missing_pattern
LINC00596	24224	0	0.0	62	5.514558736525085	4.372889574420995	58	False	0	0	0	complete
LINC00598	24225	0	0.0	62	173.34285400772865	148.9463650195865	62	False	0	0	0	complete
LINC00599	24226	0	0.0	62	0.7806001149313363	0.0	21	False	0	0	0	complete
LINC00601	24227	0	0.0	62	4.764266957930826	2.9280273478174497	49	False	0	0	0	complete
LINC00602	24228	0	0.0	62	25.001218555802424	15.21900662713145	57	False	0	0	0	complete
LINC00603	24229	0	0.0	62	1.6630470304344735	0.0	22	False	0	0	0	complete
LINC00605	24230	0	0.0	62	7.513814812336302	5.66460976211013	59	False	0	0	0	complete
LINC00607	24231	0	0.0	62	59.80678273272477	47.04206486894005	62	False	0	0	0	complete
LINC00609	24232	0	0.0	62	3.98760730000861	0.0	16	False	0	0	0	complete
LINC00612	24233	0	0.0	62	107.1727470957923	61.084720135309	62	False	0	0	0	complete
LINC00616	24234	0	0.0	62	17.026157552013025	4.42658333305854	51	False	0	0	0	complete
LINC00618	24235	0	0.0	62	12.750508157102194	10.82219526703205	62	False	0	0	0	complete
LINC00621	24236	0	0.0	62	12.216167732073478	4.57702452729043	51	False	0	0	0	complete
LINC00622	24237	0	0.0	62	114.40457604546481	70.26493608109669	62	False	0	0	0	complete
LINC00623	24238	0	0.0	62	253.51215135788178	225.3611436804455	62	False	0	0	0	complete
LINC00624	24239	0	0.0	62	221.03069562374088	223.202048932508	62	False	0	0	0	complete
LINC00626	24240	0	0.0	62	5.272380176224238	1.025442670254195	45	False	0	0	0	complete
LINC00628	24241	0	0.0	62	19.470360909021153	11.1868568850124	58	False	0	0	0	complete
LINC00629	24242	0	0.0	62	4.01807825687249	2.724916323175115	51	False	0	0	0	complete
LINC00630	24243	0	0.0	62	420.7382421855412	392.865973148256	62	False	0	0	0	complete
LINC00632	24244	0	0.0	62	19.345194507755508	18.28755034269965	62	False	0	0	0	complete
LINC00634	24245	0	0.0	62	2.19950287298019	1.0585392585871451	47	False	0	0	0	complete
LINC00635	24246	0	0.0	62	0.6858936191626517	0.0	21	False	0	0	0	complete
LINC00636	24247	0	0.0	62	1.5873917798626946	0.782913395915781	33	False	0	0	0	complete
LINC00637	24248	0	0.0	62	9.336477696697663	4.06256559116453	56	False	0	0	0	complete
LINC00638	24249	0	0.0	62	48.74243438786648	39.5450508858095	62	False	0	0	0	complete
LINC00639	24250	0	0.0	62	45.39824382555259	35.49896883029295	62	False	0	0	0	complete
LINC00640	24251	0	0.0	62	15.772744826781695	6.90373888307636	60	False	0	0	0	complete
LINC00641	24252	0	0.0	62	737.6812566160361	717.6945975765241	62	False	0	0	0	complete
LINC00642	24253	0	0.0	62	1.0158916377816867	0.0	28	False	0	0	0	complete
LINC00643	24254	0	0.0	62	98.06645571383407	38.2555621696608	59	False	0	0	0	complete
LINC00644	24255	0	0.0	62	1.0826076979066335	0.0	27	False	0	0	0	complete
