taxon	total_abundance	mean_abundance	median_abundance	max_abundance	prevalence_count	prevalence_fraction	zero_fraction
Marmoricola	25.52985288530732	0.41177182073076324	0.0	11.1517610390123	3	0.04838709677419355	0.9516129032258065
Macrococcus	4.13172581912231	0.06664073901810177	0.0	4.13172581912231	1	0.016129032258064516	0.9838709677419355
Pseudomonas	1088077.9363126694	17549.64413407531	8304.20290042166	65578.1319176683	62	1.0	0.0
Vitreoscilla	19.91960569179573	0.3212839627708989	0.0	5.40280659239516	5	0.08064516129032258	0.9193548387096774
Eubacterium	197.1469536597794	3.179789575157732	0.0	136.117552281741	5	0.08064516129032258	0.9193548387096774
Methylobacterium	3022.7198712085383	48.753546309815135	28.686790612297948	550.759808470362	52	0.8387096774193549	0.16129032258064516
Elizabethkingia	22579868.206285503	364191.42268202425	5062.66774513791	13573743.8388113	62	1.0	0.0
Tessaracoccus	6907.991256216785	111.41921380994815	80.4284271244358	314.779412744464	62	1.0	0.0
Agrobacterium	35098.71231024388	566.1082630684497	422.21523610155805	2141.38520228522	62	1.0	0.0
Azospirillum	598.8199993503874	9.658387086296571	7.76968265648006	40.2769416202006	32	0.5161290322580645	0.4838709677419355
Aspergillus	172.31585756833778	2.7792880252957706	0.0	81.2316789854075	3	0.04838709677419355	0.9516129032258065
Treponema	163.79327868559662	2.641827075574139	0.0	86.0723866886725	4	0.06451612903225806	0.9354838709677419
Clostridium	5112.352452284872	82.45729761749793	0.0	1655.43435828119	14	0.22580645161290322	0.7741935483870968
Ensifer	543.6340598057461	8.768291287189454	0.0	49.3905160126586	23	0.3709677419354839	0.6290322580645161
Roseomonas	309.03290659127424	4.984401719214101	0.0	61.9197347881074	16	0.25806451612903225	0.7419354838709677
Croceicoccus	3616.797062739494	58.33543649579829	61.94318883965215	123.305678759076	52	0.8387096774193549	0.16129032258064516
Curtobacterium	16.18740199828006	0.2610871290045171	0.0	12.472613897569	2	0.03225806451612903	0.967741935483871
Simplicispira	53.822973399501734	0.8681124741855119	0.0	12.556113806712	8	0.12903225806451613	0.8709677419354839
Rothia	12.1663169245789	0.19623091813836938	0.0	12.1663169245789	1	0.016129032258064516	0.9838709677419355
Rhodobacter	1346.0863178683735	21.711069643038282	0.0	102.069054170691	30	0.4838709677419355	0.5161290322580645
Pseudorhodoplanes	1.92957378299827	0.031122157790294678	0.0	1.92957378299827	1	0.016129032258064516	0.9838709677419355
Micrococcus	2768.950952124123	44.66049922780844	14.2059186161497	424.477653852716	33	0.532258064516129	0.46774193548387094
Bradyrhizobium	40682.916347332015	656.1760701182583	257.02244648096496	4506.25050914197	62	1.0	0.0
Aquabacterium	3936.804918102714	63.49685351778571	59.908758105477006	151.143091024577	58	0.9354838709677419	0.06451612903225806
Pseudonocardia	162.51991046780824	2.6212888785130364	0.0	47.7293971656559	8	0.12903225806451613	0.8709677419354839
Prevotella	46563.7581257714	751.0283568672806	0.0	45878.3140071239	18	0.2903225806451613	0.7096774193548387
Sulfuritalea	142.67973630156055	2.301286069380009	0.0	20.8874873418379	17	0.27419354838709675	0.7258064516129032
Azorhizobium	5.56331476019169	0.08973088322889823	0.0	2.89436067449741	2	0.03225806451612903	0.967741935483871
Escherichia	4077.2012788115467	65.76131094857334	0.0	1774.18205813116	16	0.25806451612903225	0.7419354838709677
