TF	regulon_version	confidence_levels	targets_expected	targets_observed	target_coverage_fraction	retained	activity_score_direction
STAT1	1.22.0	A;B;C	290	288	0.993103448275862	TRUE	VIPER_NES_positive_or_negative_TF_activity
STAT2	1.22.0	A;B;C	39	39	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
STAT3	1.22.0	A;B;C	75	75	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
STAT4	1.22.0	A;B;C	10	10	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
STAT5A	1.22.0	A;B;C	21	20	0.952380952380952	TRUE	VIPER_NES_positive_or_negative_TF_activity
STAT5B	1.22.0	A;B;C	16	16	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
STAT6	1.22.0	A;B;C	10	10	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
TAL1	1.22.0	A;B;C	18	18	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
TBP	1.22.0	A;B;C	46	45	0.978260869565217	TRUE	VIPER_NES_positive_or_negative_TF_activity
TBX21	1.22.0	A;B;C	77	76	0.987012987012987	TRUE	VIPER_NES_positive_or_negative_TF_activity
TCF12	1.22.0	A;B;C	77	77	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
TCF3	1.22.0	A;B;C	15	15	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
TCF4	1.22.0	A;B;C	62	62	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
TCF7	1.22.0	A;B;C	61	60	0.983606557377049	TRUE	VIPER_NES_positive_or_negative_TF_activity
TCF7L2	1.22.0	A;B;C	20	20	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
TEAD1	1.22.0	A;B;C	128	127	0.9921875	TRUE	VIPER_NES_positive_or_negative_TF_activity
TEAD2	1.22.0	A;B;C	30	30	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
TEAD4	1.22.0	A;B;C	73	70	0.958904109589041	TRUE	VIPER_NES_positive_or_negative_TF_activity
TFAP2A	1.22.0	A;B;C	62	59	0.951612903225806	TRUE	VIPER_NES_positive_or_negative_TF_activity
TFAP2C	1.22.0	A;B;C	15	15	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
TFAP4	1.22.0	A;B;C	40	39	0.975	TRUE	VIPER_NES_positive_or_negative_TF_activity
TFDP1	1.22.0	A;B;C	12	12	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
TGIF2	1.22.0	A;B;C	19	18	0.947368421052632	TRUE	VIPER_NES_positive_or_negative_TF_activity
THAP1	1.22.0	A;B;C	55	54	0.981818181818182	TRUE	VIPER_NES_positive_or_negative_TF_activity
THAP11	1.22.0	A;B;C	116	116	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
TP53	1.22.0	A;B;C	248	243	0.979838709677419	TRUE	VIPER_NES_positive_or_negative_TF_activity
TP63	1.22.0	A;B;C	19	19	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
TP73	1.22.0	A;B;C	42	42	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
TWIST1	1.22.0	A;B;C	15	15	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
USF1	1.22.0	A;B;C	59	58	0.983050847457627	TRUE	VIPER_NES_positive_or_negative_TF_activity
USF2	1.22.0	A;B;C	38	38	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
VDR	1.22.0	A;B;C	24	24	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
WT1	1.22.0	A;B;C	31	29	0.935483870967742	TRUE	VIPER_NES_positive_or_negative_TF_activity
XBP1	1.22.0	A;B;C	16	16	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
YY1	1.22.0	A;B;C	73	71	0.972602739726027	TRUE	VIPER_NES_positive_or_negative_TF_activity
ZBED1	1.22.0	A;B;C	22	22	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
ZBTB11	1.22.0	A;B;C	22	21	0.954545454545455	TRUE	VIPER_NES_positive_or_negative_TF_activity
ZBTB33	1.22.0	A;B;C	12	11	0.916666666666667	FALSE	VIPER_NES_positive_or_negative_TF_activity
ZBTB7A	1.22.0	A;B;C	90	87	0.966666666666667	TRUE	VIPER_NES_positive_or_negative_TF_activity
ZEB1	1.22.0	A;B;C	15	15	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
ZEB2	1.22.0	A;B;C	53	53	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
