feature_name	feature_family	composition_covariate	eligible_patients	coefficient	confidence_interval_low	confidence_interval_high	p_value	model_diagnostics	q_value	dataset_id	localization_interpretation
GRHL2	partially replicated TF	malignant_epithelial_fraction	35	0.888356657468821	0.344139372041405	1.43257394289624	0.00303771005350114	HC3_OLS; residual_sd=0.3228	0.0394902306955149	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
KLF1	partially replicated TF	malignant_epithelial_fraction	35	0.478744129565099	-0.10293518012888	1.06042343925908	0.116234590339177	HC3_OLS; residual_sd=0.3976	0.207654077831334	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
MBD1	partially replicated TF	malignant_epithelial_fraction	35	0.0149825793664822	-0.406761813510675	0.43672697224364	0.944908782733244	HC3_OLS; residual_sd=0.2756	0.944908782733244	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
MBD2	partially replicated TF	malignant_epithelial_fraction	35	0.242977649857067	-0.0618770828767799	0.547832382590914	0.127787124819283	HC3_OLS; residual_sd=0.1904	0.207654077831334	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
OTX2	partially replicated TF	malignant_epithelial_fraction	35	-0.27838971307974	-0.494531385779726	-0.0622480403797545	0.0165774945657872	HC3_OLS; residual_sd=0.1278	0.0421722764472653	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
SIX5	partially replicated TF	malignant_epithelial_fraction	35	-0.638908101503237	-1.1487022298281	-0.129113973178378	0.0194641275910455	HC3_OLS; residual_sd=0.3008	0.0421722764472653	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
SNAPC4	partially replicated TF	malignant_epithelial_fraction	35	-0.0902563210176366	-0.453606803191912	0.273094161156639	0.629572711285912	HC3_OLS; residual_sd=0.229	0.730680000343783	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
ZBED1	partially replicated TF	malignant_epithelial_fraction	35	0.404291367473791	0.110216721244752	0.69836601370283	0.010997453639777	HC3_OLS; residual_sd=0.2496	0.0421722764472653	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
ZNF384	partially replicated TF	malignant_epithelial_fraction	35	-0.0946308777065265	-0.444916651803895	0.255654896390842	0.6000026220446	HC3_OLS; residual_sd=0.2317	0.730680000343783	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
ZNF740	partially replicated TF	malignant_epithelial_fraction	35	-0.0714510021910654	-0.401912630275207	0.259010625893076	0.674473846471185	HC3_OLS; residual_sd=0.2439	0.730680000343783	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
